id,fichier,artiste,organisation,adresse,annee,programme_entente,latitude,longitude,image,arrondissement
20,MU-HabitationsJM-2011.jpg,Phillip Adams et David Guinn,MU,"270-280, boulevard de Maisonneuve Est",2011,Programme graffitis et murales,45.512799,-73.562908,http://depot.ville.montreal.qc.ca/murales/MU-HabitationsJM-2011.jpg,Ville-Marie
21,MU-ENT-2011.jpg,"Richard Morin, Annie Hamel, Florence April-Borgeat, Olivier Roy et Nico",MU,"360, rue Laurier Est",2011,Programme graffitis et murales,45.52644,-73.589761,http://depot.ville.montreal.qc.ca/murales/MU-ENT-2011.jpg,Le Plateau-Mont-Royal
22,MU-OscarPeterson.jpg,Gene Pendon et Laurence Petit,MU,"1847, terrasse Elgin",2011,Programme graffitis et murales,45.489436,-73.572194,http://depot.ville.montreal.qc.ca/murales/MU-OscarPeterson.jpg,Le Sud-Ouest
23,MU-HabitationsJM.jpg,Phillip Adams,MU,coin des rues Sanguinet et Émery,2012,Programme graffitis et murales,45.513933,-73.564416,http://depot.ville.montreal.qc.ca/murales/MU-HabitationsJM.jpg,Ville-Marie
24,MU-PlaceNormandie1.jpg,Arnaud Grégoire,MU,"12 631, 6350-6358, 6320-6326, avenue Chartrand",2012,Programme graffitis et murales,45.623277,-73.625152,http://depot.ville.montreal.qc.ca/murales/MU-PlaceNormandie1.jpg,Montréal-Nord
25,MU-PlaceNormandie2.jpg,Arnaud Grégoire,MU,"12 631, 6350-6358, 6320-6326, avenue Chartrand",2012,Programme graffitis et murales,45.623436,-73.624837,http://depot.ville.montreal.qc.ca/murales/MU-PlaceNormandie2.jpg,Montréal-Nord
26,MU-PlaceNormandie3.jpg,Arnaud Grégoire,MU,"12 631, 6350-6358, 6320-6326, avenue Chartrand",2012,Programme graffitis et murales,45.622605,-73.624465,http://depot.ville.montreal.qc.ca/murales/MU-PlaceNormandie3.jpg,Montréal-Nord
27,MU-PlaceNormandie4.jpg,Jeunes résidents de Place Normandie,MU,"12 631, 6350-6358, 6320-6326, avenue Chartrand",2012,Programme graffitis et murales,45.623151,-73.624774,http://depot.ville.montreal.qc.ca/murales/MU-PlaceNormandie4.jpg,Montréal-Nord
28,MU-CentenaireSt-Michel.jpg,Gene Pendon,MU,"4201, boulevard Robert",2012,Programme graffitis et murales,45.576336,-73.609746,http://depot.ville.montreal.qc.ca/murales/MU-CentenaireSt-Michel.jpg,Villeray—Saint-Michel—Parc-Extension
29,MU-Vamonos.jpg,René-Pierre Beaudry (Arpi),MU,"2615, rue Notre-Dame Ouest",2012,Programme graffitis et murales,45.48249,-73.576218,http://depot.ville.montreal.qc.ca/murales/MU-Vamonos.jpg,Le Sud-Ouest
30,PrevCDN-NDG_Ashop2012.jpg,A'Shop,Prévention Côte-des-Neiges-Notre-Dame-de-Grâce,coin des rues Décarie et Sherbrooke,2012,Programme graffitis et murales,45.474627,-73.608797,http://depot.ville.montreal.qc.ca/murales/PrevCDN-NDG_Ashop2012.jpg,Côte-Des-Neiges—Notre-Dame-De-Grâce
31,SPAG-Murale-Marjo.jpg,Laurent Gascon,Société pour Promouvoir les Arts Gigantesques (SPAG),"2222, rue Ontario Est entre les rues Fullum et Parthenais",2012,Programme graffitis et murales,45.529799,-73.555519,http://depot.ville.montreal.qc.ca/murales/SPAG-Murale-Marjo.jpg,Ville-Marie
32,SODER-Nayan2012.jpg,Nayan,SODER,"5776, 2e Avenue (ruelle)",2012,Programme graffitis et murales,45.547534,-73.582381,http://depot.ville.montreal.qc.ca/murales/SODER-Nayan2012.jpg,Rosemont—La Petite-Patrie
33,SPAG-2371OntarioEst.jpg,Laurent Gascon,Société pour Promouvoir les Arts Gigantesques (SPAG),"2371, rue Ontario Est",2013,Programme graffitis et murales,45.531291,-73.554416,http://depot.ville.montreal.qc.ca/murales/SPAG-2371OntarioEst.jpg,Ville-Marie
34,MJE-357StJacques1.jpg,Simon Bachand et Jasmin Guérard-Alie,Maison des Jeunes l'Escalier de Lachine,"357, rue Saint-Jacques",2013,Programme graffitis et murales,45.44333,-73.648853,http://depot.ville.montreal.qc.ca/murales/MJE-357StJacques1.jpg,Lachine
35,MJE-357StJacques2.jpg,Simon Bachand et Jasmin Guérard-Alie,Maison des Jeunes l'Escalier de Lachine,"357, rue Saint-Jacques",2013,Programme graffitis et murales,45.443261,-73.648972,http://depot.ville.montreal.qc.ca/murales/MJE-357StJacques2.jpg,Lachine
36,MJE-150NotreDame.jpg,Simon Bachand et Jasmin Guérard-Alie,Maison des Jeunes l'Escalier de Lachine,"150, rue Notre-Dame",2013,Programme graffitis et murales,45.443252,-73.644883,http://depot.ville.montreal.qc.ca/murales/MJE-150NotreDame.jpg,Lachine
37,CEP-Knox-Hiberna.jpg,Collectif Au pied du mur,Carrefour d'éducation populaire de Pointe-Saint-Charles,coin des rues Knox et Hibernia,2013,Programme graffitis et murales,45.478752,-73.562949,http://depot.ville.montreal.qc.ca/murales/CEP-Knox-Hiberna.jpg,Le Sud-Ouest
38,MU-152OntarioE.jpg,Phillip Adams,MU,"152, rue Ontario Est",2013,Programme graffitis et murales,45.513182,-73.565709,http://depot.ville.montreal.qc.ca/murales/MU-152OntarioE.jpg,Ville-Marie
39,MU-7800JacquesRousseau.jpg,Carlito Dalceggio,MU,"7800, rue Jacques Rousseau",2013,Programme graffitis et murales,45.637428,-73.601674,http://depot.ville.montreal.qc.ca/murales/MU-7800JacquesRousseau.jpg,Riviere-des-Prairies—Pointe-aux-Trembles
40,MU-5413Wellington.jpg,OTHER – Cette murale n'est plus visible,MU,"5413, rue Wellington",2013,Programme graffitis et murales,45.452909,-73.567891,http://depot.ville.montreal.qc.ca/murales/MU-5413Wellington.jpg,Verdun
41,MU_Villeray_2013_Labrona_Final_creditsMU-960x720.jpg,Labrona et Christopher Ross,MU,métro Jarry,2013,Programme graffitis et murales,45.543349,-73.628419,http://depot.ville.montreal.qc.ca/murales/MU_Villeray_2013_Labrona_Final_creditsMU-960x720.jpg,Villeray—Saint-Michel—Parc-Extension
42,YQQ-Souligny-Cadillac.jpg,A'Shop,Y'a QuelQu'un l'aut'bord du mur,coin des rues Souligny et Cadillac,2013,Programme graffitis et murales,45.572157,-73.532535,http://depot.ville.montreal.qc.ca/murales/YQQ-Souligny-Cadillac.jpg,Mercier-Hochelaga-Maisonneuve
43,YQQ-RuelleVimont.jpg,A'Shop,Y'a QuelQu'un l'aut'bord du mur,"1697, rue de Ville-Marie (ruelle Vimont)",2013,Programme graffitis et murales,45.559247,-73.532436,http://depot.ville.montreal.qc.ca/murales/YQQ-RuelleVimont.jpg,Mercier-Hochelaga-Maisonneuve
44,YQQ-RuelleOntario.jpg,A'Shop (Zek et Dodo Ose) – Cette murale n'existe plus,Y'a QuelQu'un l'aut'bord du mur,coin de la rue Ontario et de la ruelle Ville-Marie,2013,Programme graffitis et murales,45.559581,-73.535247,http://depot.ville.montreal.qc.ca/murales/YQQ-RuelleOntario.jpg,Mercier-Hochelaga-Maisonneuve
45,SODER-Colomb-deLaRoche-JTalon-Belanger.jpg,Pascal Fournier,SODER,"7077, rue Christophe-Colomb (ruelle)",2013,Programme graffitis et murales,45.542254,-73.610239,http://depot.ville.montreal.qc.ca/murales/SODER-Colomb-deLaRoche-JTalon-Belanger.jpg,Rosemont—La Petite-Patrie
46,SODER-3-4-Masson-Laurier.jpg,Philippe Mastrocola,SODER,"5324, 4e avenue (ruelle)",2013,Programme graffitis et murales,45.546691,-73.575087,http://depot.ville.montreal.qc.ca/murales/SODER-3-4-Masson-Laurier.jpg,Rosemont—La Petite-Patrie
47,SODER-6-7-Laurier-StJoseph.jpg,Nayan,SODER,"5012, 7e avenue (ruelle)",2013,Programme graffitis et murales,45.547368,-73.570805,http://depot.ville.montreal.qc.ca/murales/SODER-6-7-Laurier-StJoseph.jpg,Rosemont—La Petite-Patrie
48,SODER-DeGaspe-Alma-StZotique-Beaubien.jpg,Philippe Mastrocola,SODER,211 et 215 Beaubien Est (ruelle),2013,Programme graffitis et murales,45.532204,-73.607209,http://depot.ville.montreal.qc.ca/murales/SODER-DeGaspe-Alma-StZotique-Beaubien.jpg,Rosemont—La Petite-Patrie
49,SODER-DeLorimier-DesErables-Beaubien-Bellechasse.jpg,Isabelle Leclerc,SODER,"2148, rue Beaubien (ruelle)",2013,Programme graffitis et murales,45.545833,-73.594148,http://depot.ville.montreal.qc.ca/murales/SODER-DeLorimier-DesErables-Beaubien-Bellechasse.jpg,Rosemont—La Petite-Patrie
50,SODER-Parc-JMance-StZotique-Beaubien.jpg,Mathieu Bories (Mateo),SODER,"280, rue Saint-Zotique Ouest (ruelle)",2013,Programme graffitis et murales,45.528743,-73.615862,http://depot.ville.montreal.qc.ca/murales/SODER-Parc-JMance-StZotique-Beaubien.jpg,Rosemont—La Petite-Patrie
51,SODER-Bourbonniere-DOrleans-Rachel-Sherbrooke.jpg,Adeline Benhammouda,SODER,"3880, rue Rachel Est (ruelle)",2013,Programme graffitis et murales,45.552472,-73.556131,http://depot.ville.montreal.qc.ca/murales/SODER-Bourbonniere-DOrleans-Rachel-Sherbrooke.jpg,Rosemont—La Petite-Patrie
52,SODER-Waverly-AtUrbain-JTalon-Mozart.jpg,Monk-E,SODER,"148, rue Jean Talon Ouest (ruelle)",2013,Programme graffitis et murales,45.532897,-73.619348,http://depot.ville.montreal.qc.ca/murales/SODER-Waverly-AtUrbain-JTalon-Mozart.jpg,Rosemont—La Petite-Patrie
53,SODER-DeNormanville-Chambord-Bellechasse-Rosemont.jpg,Adèle Zanni,SODER,"1250, rue de Bellechasse (ruelle)",2013,Programme graffitis et murales,45.537688,-73.596519,http://depot.ville.montreal.qc.ca/murales/SODER-DeNormanville-Chambord-Bellechasse-Rosemont.jpg,Rosemont—La Petite-Patrie
54,SODER-6-7-Dandurand-Masson.jpg,Fanny Aishaa,SODER,"5570, 7e avenue (ruelle)",2013,Programme graffitis et murales,45.549318,-73.577235,http://depot.ville.montreal.qc.ca/murales/SODER-6-7-Dandurand-Masson.jpg,Rosemont—La Petite-Patrie
55,SODER-2-3-Masson-Laurier.jpg,Mathieu Bories (Mateo),SODER,"2650, rue Masson (ruelle)",2013,Programme graffitis et murales,45.545917,-73.575735,http://depot.ville.montreal.qc.ca/murales/SODER-2-3-Masson-Laurier.jpg,Rosemont—La Petite-Patrie
56,SODER-Rosemont-Holt-2-3.jpg,Omen,SODER,"5725, 2e avenue (ruelle)",2013,Programme graffitis et murales,45.547559,-73.580973,http://depot.ville.montreal.qc.ca/murales/SODER-Rosemont-Holt-2-3.jpg,Rosemont—La Petite-Patrie
57,SODER-Beaubien-Bellechasse.jpg,A'Shop,SODER,"6232, rue De Normanville (ruelle)",2013,Programme graffitis et murales,45.537862,-73.59796,http://depot.ville.montreal.qc.ca/murales/SODER-Beaubien-Bellechasse.jpg,Rosemont—La Petite-Patrie
58,SODER-Rosemont-Holt-8-9.jpg,A'Shop,SODER,"5750, 9e avenue (ruelle)",2013,Programme graffitis et murales,45.551396,-73.57983,http://depot.ville.montreal.qc.ca/murales/SODER-Rosemont-Holt-8-9.jpg,Rosemont—La Petite-Patrie
59,_0148784p.jpg,Scribe CSX,SODER,"3042, rue Dandurand",2014,Programme graffitis et murales,45.549988,-73.577004,http://depot.ville.montreal.qc.ca/murales/_0148784p.jpg,Rosemont—La Petite-Patrie
60,_0147199p.jpg,A'Shop,SODER,"2842, rue Holt (ruelle)",2014,Programme graffitis et murales,45.548974,-73.58048,http://depot.ville.montreal.qc.ca/murales/_0147199p.jpg,Rosemont—La Petite-Patrie
61,_0147202p.jpg,Nayan,SODER,"5881, 4e avenue (ruelle)",2014,Programme graffitis et murales,45.549358,-73.583043,http://depot.ville.montreal.qc.ca/murales/_0147202p.jpg,Rosemont—La Petite-Patrie
62,_0147205p.jpg,Mateo,SODER,"5929, 5e avenue (ruelle)",2014,Programme graffitis et murales,45.549358,-73.583043,http://depot.ville.montreal.qc.ca/murales/_0147205p.jpg,Rosemont—La Petite-Patrie
63,_0147209p.jpg,Monk-E,SODER,"6785, 2e avenue (ruelle)",2014,Programme graffitis et murales,45.553622,-73.594561,http://depot.ville.montreal.qc.ca/murales/_0147209p.jpg,Rosemont—La Petite-Patrie
64,_0148772p.jpg,A'Shop,Y'a QuelQu'un l'aut'bord du mur,"5000, rue Ontario Est",2014,Programme graffitis et murales,45.55975,-73.534759,http://depot.ville.montreal.qc.ca/murales/_0148772p.jpg,Mercier-Hochelaga-Maisonneuve
65,_0148774p.jpg,Laurent Gascon,Société pour Promouvoir les Arts Gigantesques (SPAG),coin des rues Ontario Est et Hogan,2014,Programme graffitis et murales,45.535311,-73.551266,http://depot.ville.montreal.qc.ca/murales/_0148774p.jpg,Ville-Marie
66,_0148778p.jpg,Yves Paradis,SODER,"5545, rue Lafond (ruelle)",2014,Programme graffitis et murales,45.553616,-73.574693,http://depot.ville.montreal.qc.ca/murales/_0148778p.jpg,Rosemont—La Petite-Patrie
67,_0148799p.jpg,A'Shop,Prévention Côte-des-Neiges-Notre-Dame-de-Grâce,"3518, rue Lacombe",2014,Programme graffitis et murales,45.49735,-73.622495,http://depot.ville.montreal.qc.ca/murales/_0148799p.jpg,Côte-Des-Neiges—Notre-Dame-De-Grâce
68,_0148800p.jpg,A'Shop,Prévention du crime Ahuntsic-Cartierville,chalet du parc Louisbourg,2014,Programme graffitis et murales,45.528117,-73.708178,http://depot.ville.montreal.qc.ca/murales/_0148800p.jpg,Ahuntsic-Cartierville
69,_0148805p.jpg,Thomas Csano,MU,"coin des rues Iberville et Jarry, sous le boulevard Métropolitain",2014,Programme graffitis et murales,45.557629,-73.614719,http://depot.ville.montreal.qc.ca/murales/_0148805p.jpg,Villeray—Saint-Michel—Parc-Extension
70,_0148824p.jpg,Labrona,MU,métro Jarry,2014,Programme graffitis et murales,45.543303,-73.628454,http://depot.ville.montreal.qc.ca/murales/_0148824p.jpg,Villeray—Saint-Michel—Parc-Extension
71,_0148829p.jpg,A'Shop,SODER,"7025, rue Fabre",2014,Programme graffitis et murales,45.545961,-73.605634,http://depot.ville.montreal.qc.ca/murales/_0148829p.jpg,Rosemont—La Petite-Patrie
72,_0148838p.jpg,Mateo,SODER,"1450, rue Jean Talon",2014,Programme graffitis et murales,45.546118,-73.608213,http://depot.ville.montreal.qc.ca/murales/_0148838p.jpg,Rosemont—La Petite-Patrie
73,_0148844p.jpg,Maxime Fortin,SODER,"1960, rue Beaubien (ruelle)",2014,Programme graffitis et murales,45.544523,-73.59512,http://depot.ville.montreal.qc.ca/murales/_0148844p.jpg,Rosemont—La Petite-Patrie
74,_0149036p.jpg,A'Shop,SODER,"532, rue Saint-Zotique",2014,Programme graffitis et murales,45.536599,-73.607274,http://depot.ville.montreal.qc.ca/murales/_0149036p.jpg,Rosemont—La Petite-Patrie
75,_0148861p.jpg,Rafael Sottolichio,MU,"4625, rue Saint-Dominique",2014,Programme graffitis et murales,45.521529,-73.587676,http://depot.ville.montreal.qc.ca/murales/_0148861p.jpg,Le Plateau-Mont-Royal
76,_0148864p.jpg,Zilon,MURAL,coin des rues Marie-Anne et Saint-Dominique,2014,Programme graffitis et murales,45.519661,-73.583606,http://depot.ville.montreal.qc.ca/murales/_0148864p.jpg,Le Plateau-Mont-Royal
77,_0148990p.jpg,Dan Buller et Five Eight.,MU,coin des rues Georges-Vanier et Lionel-Groulx,2014,Programme graffitis et murales,45.486637,-73.573442,http://depot.ville.montreal.qc.ca/murales/_0148990p.jpg,Le Sud-Ouest
78,_0148994p.jpg,Simon Bachand et Jasmin Guérard-Alie,Maison des Jeunes l'Escalier de Lachine,"735, rue Notre-Dame",2014,Programme graffitis et murales,45.434804,-73.670306,http://depot.ville.montreal.qc.ca/murales/_0148994p.jpg,Lachine
79,_0148999p.jpg,Simon Bachand et Jasmin Guérard-Alie,Maison des Jeunes l'Escalier de Lachine,"800, rue Notre-Dame",2014,Programme graffitis et murales,45.435045,-73.670849,http://depot.ville.montreal.qc.ca/murales/_0148999p.jpg,Lachine
80,_0149002p.jpg,Simon Bachand et Jasmin Guérard-Alie,Maison des Jeunes l'Escalier de Lachine,"1080, rue Notre-Dame",2014,Programme graffitis et murales,45.435057,-73.673237,http://depot.ville.montreal.qc.ca/murales/_0149002p.jpg,Lachine
81,_0149018p.jpg,Simon Bachand et Jasmin Guérard-Alie,Maison des Jeunes l'Escalier de Lachine,"1349, rue Notre-Dame",2014,Programme graffitis et murales,45.434825,-73.67598,http://depot.ville.montreal.qc.ca/murales/_0149018p.jpg,Lachine
82,2015_SB.jpg,"Simon Bachand, Jasmin Gérard-Alie",Artducommun,"5098, rue Saint-Hubert",2014,Projet pilote d'art mural - Entente sur le développement culturel de Montréal,45.528972,-73.588541,http://depot.ville.montreal.qc.ca/murales/2015_SB.jpg,Le Plateau-Mont-Royal
83,2014_ASHOP.jpg,A'Shop,Y'a QuelQu'un l'aut'bord du mur,"8105, rue Hochelaga",2014,Projet pilote d'art mural - Entente sur le développement culturel de Montréal,45.595266,-73.523925,http://depot.ville.montreal.qc.ca/murales/2014_ASHOP.jpg,Mercier-Hochelaga-Maisonneuve
84,2014_OMEN.jpg,Omen,MU,"1535, rue Beaudet",2014,Projet pilote d'art mural - Entente sur le développement culturel de Montréal,45.510387,-73.677283,http://depot.ville.montreal.qc.ca/murales/2014_OMEN.jpg,Saint-Laurent
85,2014-AH.jpg,Annie Hamel,MU,"1301, boulevard De Maisonneuve E.",2014,Projet pilote d'art mural - Entente sur le développement culturel de Montréal,45.520031,-73.556923,http://depot.ville.montreal.qc.ca/murales/2014-AH.jpg,Ville-Marie
86,2014-RS.jpg,Rafael Sotolichio,MU,Parc Bélanger-Chateaubriand,2014,Projet pilote d'art mural - Entente sur le développement culturel de Montréal,45.538189,-73.610286,http://depot.ville.montreal.qc.ca/murales/2014-RS.jpg,Rosemont—La Petite-Patrie
87,_0144731p.jpg,A'Shop (Zek et Dodo Ose),Prévention du crime Ahuntsic-Cartierville,"1014, rue Fleury Est",2015,Programme graffitis et murales,45.558021,-73.659044,http://depot.ville.montreal.qc.ca/murales/_0144731p.jpg,Ahuntsic-Cartierville
88,_0144707p.jpg,Simon Bachand et Jasmin Guérard-Alie,Maison des Jeunes l'Escalier de Lachine,"735, rue Notre-Dame",2015,Programme graffitis et murales,45.434765,-73.670308,http://depot.ville.montreal.qc.ca/murales/_0144707p.jpg,Lachine
89,_0144714p.jpg,Simon Bachand et Jasmin Guérard-Alie,Maison des Jeunes l'Escalier de Lachine,"1005, rue Notre-Dame",2015,Programme graffitis et murales,45.434742,-73.672654,http://depot.ville.montreal.qc.ca/murales/_0144714p.jpg,Lachine
90,_0144719p.jpg,Simon Bachand et Jasmin Guérard-Alie,Maison des Jeunes l'Escalier de Lachine,"1535-1537, rue Notre-Dame",2015,Programme graffitis et murales,45.434786,-73.677928,http://depot.ville.montreal.qc.ca/murales/_0144719p.jpg,Lachine
91,_0144722p.jpg,Rafael Sottolichio,MU,"1320, rue du Collège",2015,Projet pilote d'art mural - Entente sur le développement culturel de Montréal,45.511176,-73.672515,http://depot.ville.montreal.qc.ca/murales/_0144722p.jpg,Saint-Laurent
92,_0144736p.jpg,Jason Cantoro et Annie Hamel,MU,"5665, boulevard Saint-Laurent",2015,Projet pilote d'art mural - Entente sur le développement culturel de Montréal,45.526694,-73.600632,http://depot.ville.montreal.qc.ca/murales/_0144736p.jpg,Le Plateau-Mont-Royal
93,_0143831p.jpg,Seth Malland,MU,"1800, rue Jarry Est, coin Papineau",2015,Projet pilote d'art mural - Entente sur le développement culturel de Montréal,45.5534,-73.618783,http://depot.ville.montreal.qc.ca/murales/_0143831p.jpg,Villeray—Saint-Michel—Parc-Extension
94,_0143920p.jpg,Simon Bachand (Stare),Diffusion AGC Montréal,"2075, boulevard Saint Laurent",2015,Programme graffitis et murales,45.51194,-73.567831,http://depot.ville.montreal.qc.ca/murales/_0143920p.jpg,Ville-Marie
95,_0145573p.jpg,Simon Bachand et Jasmin Guérard-Alie,Diffusion AGC Montréal,"3689, rue Saint-Hubert",2015,Programme graffitis et murales,45.520455,-73.569268,http://depot.ville.montreal.qc.ca/murales/_0145573p.jpg,Le Plateau-Mont-Royal
96,2015_MATEO.jpg,Mathieu Bories (Mateo),SODER,"5850, avenue Papineau, angle Fleurimont",2015,Projet pilote d'art mural - Entente sur le développement culturel de Montréal,45.540415,-73.590788,http://depot.ville.montreal.qc.ca/murales/2015_MATEO.jpg,Rosemont—La Petite-Patrie
97,_0144739p.jpg,Pantonio,Santropol Roulant,"111, rue Roy Est",2015,Programme graffitis et murales,45.516451,-73.575145,http://depot.ville.montreal.qc.ca/murales/_0144739p.jpg,Le Plateau-Mont-Royal
98,_0143821p.jpg,Carlito Dalceggio,MU,"6158, rue Laurendeau",2015,Programme graffitis et murales,45.457098,-73.588239,http://depot.ville.montreal.qc.ca/murales/_0143821p.jpg,Le Sud-Ouest
99,_0143817p.jpg,Gene Pendon & Bryan Beyung,MU,"1110, boulevard St-Laurent",2015,Programme graffitis et murales,45.508597,-73.561378,http://depot.ville.montreal.qc.ca/murales/_0143817p.jpg,Ville-Marie
100,_0143838p.jpg,Julian Palma,MU,"7060, avenue Bloomfield",2015,Programme graffitis et murales,45.526961,-73.623516,http://depot.ville.montreal.qc.ca/murales/_0143838p.jpg,Villeray—Saint-Michel—Parc-Extension
101,_0143906p.jpg,Phillip Adams,MU,"1695, rue Saint-Dominique",2015,Programme graffitis et murales,45.51181,-73.566284,http://depot.ville.montreal.qc.ca/murales/_0143906p.jpg,Ville-Marie
102,_0143902p.jpg,Laurent Gascon,Société pour Promouvoir les Arts Gigantesques (SPAG),"2915, rue Ontario",2015,Programme graffitis et murales,45.537604,-73.549785,http://depot.ville.montreal.qc.ca/murales/_0143902p.jpg,Ville-Marie
103,2015_CURIOT.jpg,Curiot,MURAL,coin nord-ouest de Sherbrooke et Jeanne-Mance,2015,Projet pilote d'art mural - Entente sur le développement culturel de Montréal,45.509159,-73.571184,http://depot.ville.montreal.qc.ca/murales/2015_CURIOT.jpg,Le Plateau-Mont-Royal
